#timestamp [ns], temperature [degC], w_RS_S_x [rad s^-1], w_RS_S_y [rad s^-1], w_RS_S_z [rad s^-1], a_RS_S_x [m s^-2], a_RS_S_y [m s^-2], a_RS_S_z [m s^-2]
1891010984875875, 0, 0.6402311, 0.1568730, -0.7314532, 1.0591974, 8.5190845, -5.7091278
1891010994837875, 0, 0.4524775, 0.7232291, -0.5722659, 1.4338683, 8.0471159, -4.7059140
1891011004799875, 0, 0.1852370, 1.1270599, -0.4809480, 1.8657202, 7.7694434, -4.5912524
1891011014762875, 0, -0.1410863, 1.3430502, -0.4626582, 1.7051042, 7.4628809, -4.7623466
1891011024724875, 0, -0.3803756, 1.6485878, -0.4935873, 1.1725117, 6.6354016, -4.2972638
1891011034686875, 0, -0.5037183, 1.9734412, -0.5330522, 0.6589297, 5.0082852, -3.6715649
1891011044648875, 0, -0.5344541, 2.1031768, -0.4286323, -0.4737648, 3.1385234, -3.8603224
1891011054610875, 0, -0.4613516, 2.0752816, -0.2257133, -1.5801141, 1.9049387, -3.7935612
1891011064573875, 0, -0.2979435, 1.7484864, -0.1208545, -1.4923965, 1.4882053, -3.6786003
1891011074535875, 0, 0.0295225, 1.1925765, -0.1583159, -0.6629713, 1.2741504, -3.3911980
1891011084497875, 0, 0.4346250, 0.7094682, -0.3013543, -0.1645079, 0.8647517, -2.5346791
1891011094459875, 0, 0.6856202, 0.3389392, -0.4307437, -0.2228865, 0.6764433, -2.9764105
1891011104421875, 0, 0.6929063, 0.2001584, -0.4958705, -0.8595126, 1.1419753, -4.0180943
1891011114384875, 0, 0.5044475, 0.3742671, -0.5450657, -1.4696439, 1.9017952, -4.7180388
1891011124346875, 0, 0.2343944, 0.7863129, -0.6044907, -1.8579364, 2.3011647, -4.9470625
1891011134309167, 0, -0.0283027, 1.1411688, -0.6119068, -2.6231451, 2.1432431, -4.8695238
1891011144271167, 0, -0.1726269, 1.4060612, -0.6102974, -3.2895593, 2.3399341, -4.6306206
1891011154233167, 0, -0.1758323, 1.5047585, -0.6571802, -3.2407608, 2.6608667, -4.2538541
1891011164196167, 0, -0.0667596, 1.4138820, -0.8277842, -2.4301964, 3.0437704, -3.9245389
1891011174158167, 0, 0.1477636, 1.4236971, -1.1142032, -1.2955559, 3.7279976, -3.2546819
1891011184120167, 0, 0.3353415, 1.6534449, -1.4078268, -0.8298743, 4.5189528, -2.8036697
1891011194082167, 0, 0.3954895, 2.0590839, -1.6883861, -1.0666818, 5.2323692, -3.2623160
1891011204044167, 0, 0.3086878, 2.5163102, -1.9870309, -1.5274237, 6.2911176, -3.8431082
1891011214007167, 0, 0.1307455, 2.6184518, -2.2707195, -1.7128880, 6.7523085, -4.6526248
1891011223969167, 0, -0.0016996, 2.4775076, -2.4998026, -1.5796651, 6.2026515, -5.1603690
1891011233931167, 0, -0.0788104, 2.4556453, -2.6833999, -0.3827541, 5.9344093, -5.2123109
1891011243893167, 0, -0.1266213, 2.4513850, -2.7853236, 1.0283615, 6.2788431, -5.1186058
1891011253855167, 0, 0.0068531, 2.6060090, -2.9094548, 1.4763799, 8.1700104, -5.3248769
1891011263818167, 0, 0.3637702, 2.9259403, -3.0990636, 2.3851401, 10.7983946, -4.3975552
1891011273780167, 0, 0.7475086, 2.9408472, -3.2403114, 3.3045282, 11.1185788, -4.4399171
1891011283742167, 0, 1.0286877, 2.6595008, -3.2065930, 2.9856912, 10.5895789, -5.9911414
1891011293704167, 0, 1.1961555, 2.4208212, -2.9224508, 1.9239491, 10.3255280, -7.3241194
1891011303666167, 0, 1.3107469, 2.1189744, -2.3843069, 1.0195299, 10.1063837, -8.1969543
1891011313629167, 0, 1.0771086, 1.4302953, -1.6616812, 0.8786728, 9.8784077, -10.2146086
1891011323591167, 0, 0.7100448, 0.9460643, -1.0127778, 0.9701326, 10.1078806, -11.7212256
1891011333553167, 0, 0.5332131, 0.8872933, -0.7170615, 2.1595592, 10.7849226, -9.8954723
1891011343515167, 0, 0.5119168, 1.0034090, -0.7639760, 3.7558397, 11.9626735, -8.2444057
1891011353477167, 0, 0.5523002, 1.0297927, -0.9213738, 4.2375380, 12.9536128, -8.0787003
1891011363440167, 0, 0.5604268, 1.1456815, -1.0334370, 3.7860768, 13.2598759, -8.9430029
1891011373402167, 0, 0.2020213, 1.3055146, -1.0455922, 2.7196944, 13.2055389, -13.8267471
1891011383364167, 0, -0.2181049, 0.7944627, -0.9752173, 2.5279431, 12.1937929, -15.3192934
1891011393326167, 0, -0.1648955, 0.7327150, -0.9162920, 3.1983989, 10.7091801, -9.6180991
